Ulasan,label_sentimen
tidak sesuai,negative
kancing nya keras,negative
enak nyaman pakai,positive
suka bagi leher nya ngepress,positive
ukuranya tidak sesuai gais kalian mau beli ukuranya naik 1 ukuranya iya,neutral
sipp,neutral
tipe bahan panas jahitanya tidak rapi,negative
cutting cucok bahan bagus ukuranya tepat seller cepat response informatif overall menyalaahh terang sari jiwa gelap sukses terus,positive
hitam pucet kira hitam pekat,neutral
mantap,positive
keren banget baju nyaa kain nya halus mantap,positive
mantap,positive
ukuranya pas bagus pokok,positive
bagus,positive
bahan bagus jahitanya rapih bagus,positive
bagus,positive
kirim kemeja colarless iya lah baik,positive
kualitas baik harga murah,positive
bahan nya benerbener biasa terlalu mahal parah buat produk nya oke ko,negative
oke kirim lama pertama jadi tidak langsung review buka pesan warna apa model apa datang model apa masih tuju ganti rating di respon seller mau tukar warna,positive
harga gin sayang banget kalau beli banyak dipackingnya ini padahal biasa beli lebih murah dipackingnya 1 per cuma kurang packingnya sih,positive
barang tidak sesuai foto,negative
bahan bagus kirim cepat,positive
baru cuci luntur,neutral
kurang puas,negative
bagus sesuai harga,positive
kirim terlalu lama bayar tanggal 9 tanggal 11 baru kirim tanggal sekarang harus pakai pusat resolusi no rekomendasi,negative
barang aku bagus capit ngegigit kokoh,positive
1 co hari kamis tanggal 22 siang baru drop gerai sicepat tanggal 27 malam harap co hari kamis biar pakai hari senin cuma intrajakarta biar tidak lama kurir eh malah toko lama sangat kecewa sop nya bagaimana 2 material celana lumayan bagus cuma ujung leg opening lipat 7cm jadi kayak celana biasa tekuk 7cm lihat tidak rapi jadi liat tebal ujung ada tekuk dalam potong sesuai ukuranya chart kan lebih fair aduh,positive
rad makasih min barang sampai cepat kasih sisir,positive
pesan warna biru kirim warna coklat,neutral
oke banget beli dua kali,positive
mohon perhati hasil jahit,neutral
kualitas bahan sablon bagus sayang terang ukuranya terang produk asli tidak sesuai pilih ukuranya s dasar ket produk ukuranya s lebar dada 47 cuma nyata 42 cuma jadi kecil mau urus tukar barang malas proses,positive
kualitas barang,neutral
ukuranya pas,neutral
keren bagus sesuai ingin,positive
oke datang sesuai pesan,positive
ukuranya terlalu kecil inti normal ukuranya 05 atas biasa 16 l brand jadi 165 xl ukuranya l brand mungkin equal m ukuranya normal bahan sangat tipis tidak easy iron,negative
barang dengan selamat ukuranya pas bahan nya bagus terimakasih seller,positive
barang bagus kirim cepat sekali,positive
barang lecek jadi tidak lgsg pakai,neutral
kirim tidak sesuai janji seller sangat lama kualitas barang tidak sesuai harga pesan ukuranya l ukuranya s,negative
barang kirim salah item sedang proses kembali,negative
ukuranya pas tinggi badan 160 170 cuma berat badan 80 kg,neutral
ukuranya pas tinggi badan 160 170 cuma berat badan 60 kg,neutral
emas cuma pakai plastik bag screamous kaya kalau belanja langsung sana moga depan packing lebih perhati buat jaga kulitas produk kirim pke ekspedisi pasti tumpuk tumpuk sama paket,positive
barang sesuai deskripsi karabiner kuat webbing sangat kokoh overall very good produk,positive
tjakep ukuranya pas,neutral
ukuranya pas lentur enak pakai kirim cepat,positive
umm bahan enak kayak sedikit nembus gitu kalau pakai luar siang siang tinggi badan 161cm pas gin tidak perlu dukung dilipet,positive
kancing paling bawah copot,negative
jahit kurang depan lebih rapi,positive
jatohnya biru biasa sih tidak navy kain tipis banget tidak kayak beli belum produk sama,negative
bagus banget baju terima kasih seller toped promo cashbacknya yaaa,positive
barang kirim paksa jual baru kabar 4 hari kerja kalau memang warna barang di display habis di terang sedia lebih baik dicancel oleh jual jadi barang paksa kirim padahal warna tidak sesuai yang ingin di display,positive
